	date	message_from_name	email_mentioned_person	email_from_party
2692	2017-05-17	Peter Van Loan	Justin Trudeau	Conservative Party
2693	2017-05-17	Peter Van Loan	Peter Van Loan	Conservative Party
2694	2017-05-19	Rona	Mike	Conservative Party
2695	2017-05-19	Rona	Rona	Conservative Party
2696	2017-05-20	CPC HQ	Mike	Conservative Party
2697	2017-05-20	CPC HQ	Rona	Conservative Party
2698	2017-05-25	Conservative Party of Canada	Mike	Conservative Party
2699	2017-05-25	Conservative Party of Canada	Trudeau	Conservative Party
2700	2017-05-25	Conservative Party of Canada	Trudeau	Conservative Party
2701	2017-05-25	Conservative Party of Canada	Justin Trudeau	Conservative Party
2702	2017-05-26	Marilyn Gladu	Mike	Conservative Party
2703	2017-05-26	Marilyn Gladu	Justin Trudeau	Conservative Party
2704	2017-05-26	Marilyn Gladu	Trudeau	Conservative Party
2705	2017-05-26	Marilyn Gladu	Trudeau	Conservative Party
2706	2017-05-26	Marilyn Gladu	Trudeau	Conservative Party
2707	2017-05-26	Marilyn Gladu	Justin Trudeau	Conservative Party
2708	2017-05-26	Marilyn Gladu	Marilyn Gladu	Conservative Party
2709	2017-05-26	Marilyn Gladu	Sarnia – Lambton	Conservative Party
2710	2017-05-28	Conservative Party of Canada	Mike	Conservative Party
2711	2017-05-28	Scott Lamb	Mike	Conservative Party
2712	2017-05-28	Scott Lamb	Andrew Scheer	Conservative Party
2713	2017-05-28	Scott Lamb	Andrew Scheer	Conservative Party
2714	2017-05-28	Scott Lamb	Regina Qu'Appelle	Conservative Party
2715	2017-05-28	Scott Lamb	Andrew	Conservative Party
2716	2017-05-28	Scott Lamb	Justin Trudeau	Conservative Party
2717	2017-05-28	Scott Lamb	Mike	Conservative Party
2718	2017-05-28	Scott Lamb	Andrew	Conservative Party
2719	2017-05-28	Scott Lamb	Justin Trudeau	Conservative Party
2720	2017-05-28	Scott Lamb	Andrew Scheer	Conservative Party
2721	2017-05-28	Scott Lamb	Scott Lamb	Conservative Party
2722	2017-05-30	Andrew Scheer	Mike	Conservative Party
2723	2017-05-30	Andrew Scheer	Justin Trudeau	Conservative Party
2724	2017-05-30	Andrew Scheer	Justin Trudeau	Conservative Party
2725	2017-05-30	Andrew Scheer	Justin Trudeau	Conservative Party
2726	2017-05-30	Andrew Scheer	Andrew Scheer	Conservative Party
2727	2017-05-31	Stephen McCreary	Trudeau	Conservative Party
2728	2017-05-31	Stephen McCreary	Trudeau	Conservative Party
2729	2017-05-31	Stephen McCreary	Andrew Scheer	Conservative Party
2730	2017-05-31	Stephen McCreary	Justin Trudeau	Conservative Party
2731	2017-05-31	Stephen McCreary	Stephen McCreary	Conservative Party
2732	2017-06-06	Conservative Party	Andrew Scheer	Conservative Party
2733	2017-06-06	Conservative Party	Andrew	Conservative Party
2734	2017-06-07	Andrew Scheer	Mike	Conservative Party
2735	2017-06-07	Andrew Scheer	Justin Trudeau's	Conservative Party
2736	2017-06-07	Andrew Scheer	Trudeau	Conservative Party
2737	2017-06-07	Andrew Scheer	Trudeau	Conservative Party
2738	2017-06-07	Andrew Scheer	Mike	Conservative Party
2739	2017-06-07	Andrew Scheer	Trudeau	Conservative Party
2740	2017-06-07	Andrew Scheer	Andrew Scheer	Conservative Party
2741	2017-06-10	CPC HQ	Mike	Conservative Party
2742	2017-06-13	Dustin van Vugt	Mike	Conservative Party
2743	2017-06-13	Dustin van Vugt	Stephen Jarislowski	Conservative Party
2744	2017-06-13	Dustin van Vugt	Justin Trudeau	Conservative Party
2745	2017-06-13	Dustin van Vugt	Trudeau	Conservative Party
2746	2017-06-13	Dustin van Vugt	Trudeau	Conservative Party
2747	2017-06-13	Dustin van Vugt	Trudeau	Conservative Party
2748	2017-06-13	Dustin van Vugt	Trudeau	Conservative Party
2749	2017-06-13	Dustin van Vugt	Justin Trudeau	Conservative Party
2750	2017-06-13	Dustin van Vugt	Trudeau	Conservative Party
2751	2017-06-13	Dustin van Vugt	Dustin van Vugt	Conservative Party
2752	2017-06-14	Andrew Scheer	Mike	Conservative Party
2753	2017-06-14	Andrew Scheer	Justin Trudeau	Conservative Party
2754	2017-06-14	Andrew Scheer	Andrew Scheer	Conservative Party
2755	2017-06-15	Tony Clement	Mike	Conservative Party
2756	2017-06-15	Tony Clement	Andrew Scheer	Conservative Party
2757	2017-06-15	Tony Clement	Andrew Scheer	Conservative Party
2758	2017-06-15	Tony Clement	Trudeau	Conservative Party
2759	2017-06-15	Tony Clement	Team Scheer	Conservative Party
2760	2017-06-15	Tony Clement	Tony Clement	Conservative Party
2761	2017-06-15	Tony Clement	Parry Sound - Muskoka	Conservative Party
2762	2017-06-16	Peter Kent	Mike	Conservative Party
2763	2017-06-16	Peter Kent	Justin Trudeau	Conservative Party
2764	2017-06-16	Peter Kent	Trudeau	Conservative Party
2765	2017-06-16	Peter Kent	Justin Trudeau	Conservative Party
2766	2017-06-16	Peter Kent	Peter Kent	Conservative Party
2767	2017-06-17	CPC HQ	Mike	Conservative Party
2768	2017-06-21	Peter Van Loan	Mike	Conservative Party
2769	2017-06-21	Peter Van Loan	Justin Trudeau	Conservative Party
2770	2017-06-21	Peter Van Loan	Trudeau	Conservative Party
2771	2017-06-21	Peter Van Loan	Trudeau	Conservative Party
2772	2017-06-21	Peter Van Loan	Peter Van Loan	Conservative Party
2773	2017-06-22	Conservative Party of Canada	Mike	Conservative Party
2774	2017-06-23	James Bezan	Mike	Conservative Party
2775	2017-06-23	James Bezan	James Bezan	Conservative Party
2776	2017-06-23	James Bezan	Selkirk – Interlake	Conservative Party
2777	2017-06-24	CPC HQ	Mike	Conservative Party
2778	2017-06-27	Rona Ambrose	Mike	Conservative Party
2779	2017-06-27	Rona Ambrose	a Minister of the Crown	Conservative Party
2780	2017-06-27	Rona Ambrose	Andrew Scheer	Conservative Party
2781	2017-06-27	Rona Ambrose	Trudeau	Conservative Party
2782	2017-06-27	Rona Ambrose	Andrew	Conservative Party
2783	2017-06-27	Rona Ambrose	Justin Trudeau	Conservative Party
2784	2017-06-27	Rona Ambrose	Rona Ambrose	Conservative Party
2785	2017-06-29	Andrew Scheer	Mike	Conservative Party
2786	2017-06-29	Andrew Scheer	Andrew	Conservative Party
2787	2017-06-30	Stephen McCreary	Mike	Conservative Party
2788	2017-06-30	Stephen McCreary	Justin Trudeau	Conservative Party
2789	2017-06-30	Stephen McCreary	Trudeau	Conservative Party
2790	2017-06-30	Stephen McCreary	Justin Trudeau	Conservative Party
2791	2017-06-30	Stephen McCreary	Fidel Castro	Conservative Party
2792	2017-06-30	Stephen McCreary	Trudeau	Conservative Party
2793	2017-06-30	Stephen McCreary	Justin Trudeau	Conservative Party
2794	2017-06-30	Stephen McCreary	Andrew Scheer	Conservative Party
2795	2017-06-30	Stephen McCreary	Justin Trudeau	Conservative Party
2796	2017-06-30	Stephen McCreary	Mike	Conservative Party
2797	2017-06-30	Stephen McCreary	Trudeau	Conservative Party
2798	2017-06-30	Stephen McCreary	Stephen McCreary	Conservative Party
2799	2017-07-01	Andrew Scheer	Mike	Conservative Party
2800	2017-07-01	Andrew Scheer	Andrew	Conservative Party
2801	2017-07-05	Conservative Party of Canada	Mike	Conservative Party
2802	2017-07-05	Conservative Party of Canada	Omar Khadr	Conservative Party
2803	2017-07-05	Conservative Party of Canada	Omar Khadr	Conservative Party
2804	2017-07-05	Conservative Party of Canada	Christopher Speer	Conservative Party
2805	2017-07-05	Conservative Party of Canada	Omar Khadr	Conservative Party
2806	2017-07-05	Conservative Party of Canada	Justin Trudeau	Conservative Party
2807	2017-07-05	Conservative Party of Canada	Omar Khadr	Conservative Party
2808	2017-07-05	Conservative Party of Canada	Khadr	Conservative Party
2809	2017-07-05	Conservative Party of Canada	Justin Trudeau	Conservative Party
2810	2017-07-05	Conservative Party of Canada	Justin Trudeau	Conservative Party
2811	2017-07-07	Cory Hann	Mike	Conservative Party
2812	2017-07-07	Cory Hann	Trudeau	Conservative Party
2813	2017-07-07	Cory Hann	Trudeau	Conservative Party
2814	2017-07-07	Cory Hann	Justin Trudeau	Conservative Party
2815	2017-07-07	Cory Hann	Cory Hann	Conservative Party
2816	2017-07-08	CPC HQ	Mike	Conservative Party
2817	2017-07-11	Tony Clement	Mike	Conservative Party
2818	2017-07-11	Tony Clement	Justin Trudeau	Conservative Party
2819	2017-07-11	Tony Clement	Justin Trudeau	Conservative Party
2820	2017-07-11	Tony Clement	Trudeau	Conservative Party
2821	2017-07-11	Tony Clement	Trudeau	Conservative Party
2822	2017-07-11	Tony Clement	Trudeau	Conservative Party
2823	2017-07-11	Tony Clement	Andrew Scheer	Conservative Party
2824	2017-07-11	Tony Clement	Andrew	Conservative Party
2825	2017-07-11	Tony Clement	Tony Clement	Conservative Party
2826	2017-07-11	Tony Clement	Parry Sound - Muskoka	Conservative Party
2827	2017-07-12	Andrew Scheer	Mike	Conservative Party
2828	2017-07-12	Andrew Scheer	Omar Khadr	Conservative Party
2829	2017-07-12	Andrew Scheer	Justin Trudeau	Conservative Party
2830	2017-07-12	Andrew Scheer	Christopher Speer	Conservative Party
2831	2017-07-12	Andrew Scheer	Justin Trudeau	Conservative Party
2832	2017-07-12	Andrew Scheer	Justin Trudeau	Conservative Party
2833	2017-07-12	Andrew Scheer	Justin Trudeau	Conservative Party
2834	2017-07-12	Andrew Scheer	Speer	Conservative Party
2835	2017-07-12	Andrew Scheer	Khadr	Conservative Party
2836	2017-07-12	Andrew Scheer	Omar Khadr	Conservative Party
2837	2017-07-12	Andrew Scheer	Sergeant Speer	Conservative Party
2838	2017-07-12	Andrew Scheer	Justin Trudeau	Conservative Party
2839	2017-07-12	Andrew Scheer	Khadr	Conservative Party
2840	2017-07-12	Andrew Scheer	Khadr	Conservative Party
2841	2017-07-12	Andrew Scheer	Khadr	Conservative Party
2842	2017-07-12	Andrew Scheer	Justin Trudeau	Conservative Party
2843	2017-07-12	Andrew Scheer	Andrew Scheer	Conservative Party
2844	2017-07-13	Steven Blaney	Mike	Conservative Party
2845	2017-07-13	Steven Blaney	Justin Trudeau	Conservative Party
2846	2017-07-13	Steven Blaney	Trudeau	Conservative Party
2847	2017-07-13	Steven Blaney	Trudeau	Conservative Party
2848	2017-07-13	Steven Blaney	Trudeau	Conservative Party
2849	2017-07-13	Steven Blaney	Justin Trudeau	Conservative Party
2850	2017-07-13	Steven Blaney	Justin Trudeau	Conservative Party
2851	2017-07-13	Steven Blaney	Trudeau	Conservative Party
2852	2017-07-13	Steven Blaney	Justin Trudeau	Conservative Party
2853	2017-07-13	Steven Blaney	Steven Blaney	Conservative Party
2854	2017-07-14	=?utf-8?Q?Erin_O=e2=80=99Toole?=	Mike	Conservative Party
2855	2017-07-14	=?utf-8?Q?Erin_O=e2=80=99Toole?=	Justin Trudeau	Conservative Party
2856	2017-07-14	=?utf-8?Q?Erin_O=e2=80=99Toole?=	Trudeau	Conservative Party
2857	2017-07-14	=?utf-8?Q?Erin_O=e2=80=99Toole?=	Justin Trudeau	Conservative Party
2858	2017-07-14	=?utf-8?Q?Erin_O=e2=80=99Toole?=	Trudeau	Conservative Party
2859	2017-07-14	=?utf-8?Q?Erin_O=e2=80=99Toole?=	Erin O’Toole	Conservative Party
2860	2017-07-15	CPC HQ	Mike	Conservative Party
2861	2017-07-17	Andrew Scheer	Mike	Conservative Party
2862	2017-07-17	Andrew Scheer	Omar Khadr	Conservative Party
2863	2017-07-17	Andrew Scheer	Justin Trudeau	Conservative Party
2864	2017-07-17	Andrew Scheer	Christopher Speer	Conservative Party
2865	2017-07-17	Andrew Scheer	Justin Trudeau	Conservative Party
2866	2017-07-17	Andrew Scheer	Justin Trudeau	Conservative Party
2867	2017-07-17	Andrew Scheer	Justin Trudeau	Conservative Party
2868	2017-07-17	Andrew Scheer	Speer	Conservative Party
2869	2017-07-17	Andrew Scheer	Khadr	Conservative Party
2870	2017-07-17	Andrew Scheer	Omar Khadr	Conservative Party
2871	2017-07-17	Andrew Scheer	Sergeant Speer	Conservative Party
2872	2017-07-17	Andrew Scheer	Justin Trudeau	Conservative Party
2873	2017-07-17	Andrew Scheer	Khadr	Conservative Party
2874	2017-07-17	Andrew Scheer	Khadr	Conservative Party
2875	2017-07-17	Andrew Scheer	Khadr	Conservative Party
2876	2017-07-17	Andrew Scheer	Justin Trudeau	Conservative Party
2877	2017-07-17	Andrew Scheer	Andrew Scheer	Conservative Party
2878	2017-07-18	Karen Vecchio	Mike	Conservative Party
2879	2017-07-18	Karen Vecchio	Trudeau	Conservative Party
2880	2017-07-18	Karen Vecchio	Trudeau	Conservative Party
2881	2017-07-18	Karen Vecchio	Mark Holland	Conservative Party
2882	2017-07-18	Karen Vecchio	Sonia Sidhu	Conservative Party
2883	2017-07-18	Karen Vecchio	Justin Trudeau	Conservative Party
2884	2017-07-18	Karen Vecchio	Trudeau	Conservative Party
2885	2017-07-18	Karen Vecchio	Trudeau	Conservative Party
2886	2017-07-18	Karen Vecchio	Trudeau	Conservative Party
2887	2017-07-18	Karen Vecchio	Karen Vecchio	Conservative Party
2888	2017-07-19	Conservative Party of Canada	Mike	Conservative Party
2889	2017-07-19	Conservative Party of Canada	Justin Trudeau	Conservative Party
2890	2017-07-19	Conservative Party of Canada	Omar Khadr	Conservative Party
2891	2017-07-19	Conservative Party of Canada	Justin Trudeau	Conservative Party
2892	2017-07-19	Conservative Party of Canada	Justin Trudeau	Conservative Party
2893	2017-07-19	Conservative Party of Canada	Justin Trudeau	Conservative Party
2894	2017-07-20	Andrew Scheer	Mike	Conservative Party
2895	2017-07-20	Andrew Scheer	Andrew Scheer	Conservative Party
2896	2017-07-22	CPC HQ	Mike	Conservative Party
2897	2017-07-23	Andrew Scheer	Mike	Conservative Party
2898	2017-07-23	Andrew Scheer	Andrew Scheer	Conservative Party
2899	2017-07-25	Conservative Party of Canada	Mike	Conservative Party
2900	2017-07-25	Conservative Party of Canada	Justin Trudeau	Conservative Party
2901	2017-07-25	Conservative Party of Canada	Justin	Conservative Party
2902	2017-07-25	Conservative Party of Canada	Andrew Scheer	Conservative Party
2903	2017-07-25	Conservative Party of Canada	Justin Trudeau	Conservative Party
2904	2017-07-26	Blaine Calkins	Mike	Conservative Party
2905	2017-07-26	Blaine Calkins	Justin Trudeau	Conservative Party
2906	2017-07-26	Blaine Calkins	Trudeau	Conservative Party
2907	2017-07-26	Blaine Calkins	Trudeau	Conservative Party
2908	2017-07-26	Blaine Calkins	Trudeau	Conservative Party
2909	2017-07-26	Blaine Calkins	Justin Trudeau	Conservative Party
2910	2017-07-26	Blaine Calkins	Justin Trudeau	Conservative Party
2911	2017-07-26	Blaine Calkins	Blaine Calkins	Conservative Party
2912	2017-07-26	Blaine Calkins	Red Deer - Lacombe	Conservative Party
2913	2017-07-27	Andrew Scheer	Mike	Conservative Party
2914	2017-07-27	Andrew Scheer	Trudeau	Conservative Party
2915	2017-07-27	Andrew Scheer	Justin Trudeau	Conservative Party
2916	2017-07-27	Andrew Scheer	Andrew Scheer	Conservative Party
2917	2017-07-28	Andrew Scheer	Mike	Conservative Party
2918	2017-07-28	Andrew Scheer	Justin Trudeau	Conservative Party
2919	2017-07-28	Andrew Scheer	Trudeau	Conservative Party
2920	2017-07-28	Andrew Scheer	Omar Khadr	Conservative Party
2921	2017-07-28	Andrew Scheer	Omar Khadr	Conservative Party
2922	2017-07-28	Andrew Scheer	Omar Khadr	Conservative Party
2923	2017-07-28	Andrew Scheer	Omar Khadr	Conservative Party
2924	2017-07-28	Andrew Scheer	Khadr	Conservative Party
2925	2017-07-28	Andrew Scheer	Omar Khadr	Conservative Party
2926	2017-07-28	Andrew Scheer	Justin Trudeau	Conservative Party
2927	2017-07-28	Andrew Scheer	Khadr	Conservative Party
2928	2017-07-28	Andrew Scheer	Omar Khadr	Conservative Party
2929	2017-07-28	Andrew Scheer	Justin Trudeau	Conservative Party
2930	2017-07-28	Andrew Scheer	Tabitha Speer	Conservative Party
2931	2017-07-28	Andrew Scheer	Omar Khadr	Conservative Party
2932	2017-07-28	Andrew Scheer	Christopher Speer	Conservative Party
2933	2017-07-28	Andrew Scheer	Justin Trudeau	Conservative Party
2934	2017-07-28	Andrew Scheer	Khadr	Conservative Party
2935	2017-07-28	Andrew Scheer	Trudeau	Conservative Party
2936	2017-07-28	Andrew Scheer	Justin Trudeau	Conservative Party
2937	2017-07-28	Andrew Scheer	Justin Trudeau	Conservative Party
2938	2017-07-28	Andrew Scheer	Justin Trudeau	Conservative Party
2939	2017-07-28	Andrew Scheer	Trudeau	Conservative Party
2940	2017-07-28	Andrew Scheer	Omar Khadr	Conservative Party
2941	2017-07-28	Andrew Scheer	Trudeau	Conservative Party
2942	2017-07-28	Andrew Scheer	Khadr	Conservative Party
2943	2017-07-28	Andrew Scheer	Trudeau	Conservative Party
2944	2017-07-28	Andrew Scheer	Trudeau	Conservative Party
2945	2017-07-28	Andrew Scheer	Omar Khadr	Conservative Party
2946	2017-07-28	Andrew Scheer	Trudeau	Conservative Party
2947	2017-07-28	Andrew Scheer	Andrew Scheer	Conservative Party
2948	2017-07-29	CPC HQ	Mike	Conservative Party
2949	2017-08-01	John Brassard	Mike	Conservative Party
2950	2017-08-01	John Brassard	Justin Trudeau	Conservative Party
2951	2017-08-01	John Brassard	Trudeau	Conservative Party
2952	2017-08-01	John Brassard	Trudeau	Conservative Party
2953	2017-08-01	John Brassard	Trudeau	Conservative Party
2954	2017-08-01	John Brassard	Trudeau	Conservative Party
2955	2017-08-01	John Brassard	Trudeau	Conservative Party
2956	2017-08-01	John Brassard	Justin Trudeau	Conservative Party
2957	2017-08-01	John Brassard	Trudeau	Conservative Party
2958	2017-08-01	John Brassard	John Brassard	Conservative Party
2959	2017-08-01	John Brassard	Barrie – Innisfil	Conservative Party
2960	2017-08-01	Dustin van Vugt	Mike	Conservative Party
2961	2017-08-01	Dustin van Vugt	Andrew Scheer	Conservative Party
2962	2017-08-01	Dustin van Vugt	Andrew	Conservative Party
2963	2017-08-01	Dustin van Vugt	Trudeau	Conservative Party
2964	2017-08-01	Dustin van Vugt	Justin Trudeau	Conservative Party
2965	2017-08-01	Dustin van Vugt	Trudeau	Conservative Party
2966	2017-08-01	Dustin van Vugt	Andrew	Conservative Party
2967	2017-08-01	Dustin van Vugt	Dustin van Vugt	Conservative Party
2968	2017-08-04	Conservative Party of Canada	Mike	Conservative Party
2969	2017-08-04	Conservative Party of Canada	Andrew Scheer	Conservative Party
2970	2017-08-04	Conservative Party of Canada	Trudeau	Conservative Party
2971	2017-08-05	CPC HQ	Mike	Conservative Party
2972	2017-08-09	Lisa Raitt	Mike	Conservative Party
2973	2017-08-09	Lisa Raitt	Cape Bretoner	Conservative Party
2974	2017-08-09	Lisa Raitt	Andrew Scheer	Conservative Party
2975	2017-08-09	Lisa Raitt	Justin Trudeau	Conservative Party
2976	2017-08-09	Lisa Raitt	Andrew Scheer	Conservative Party
2977	2017-08-09	Lisa Raitt	Andrew	Conservative Party
2978	2017-08-09	Lisa Raitt	Team Scheer	Conservative Party
2979	2017-08-09	Lisa Raitt	Lisa Raitt	Conservative Party
2980	2017-08-09	Lisa Raitt	Milton	Conservative Party
2981	2017-08-10	Candice Bergen	Mike	Conservative Party
2982	2017-08-10	Candice Bergen	Andrew Scheer	Conservative Party
2983	2017-08-10	Candice Bergen	Justin Trudeau	Conservative Party
2984	2017-08-10	Candice Bergen	Candice Bergen	Conservative Party
2985	2017-08-10	Candice Bergen	Portage-Lisgar	Conservative Party
2986	2017-08-11	Mark Strahl	Mike	Conservative Party
2987	2017-08-11	Mark Strahl	Andrew Scheer	Conservative Party
2988	2017-08-11	Mark Strahl	Andrew Scheer	Conservative Party
2989	2017-08-11	Mark Strahl	Trudeau	Conservative Party
2990	2017-08-11	Mark Strahl	Trudeau	Conservative Party
2991	2017-08-11	Mark Strahl	Mark Strahl	Conservative Party
2992	2017-08-13	Lisa Raitt	Mike	Conservative Party
2993	2017-08-13	Lisa Raitt	Cape Bretoner	Conservative Party
2994	2017-08-13	Lisa Raitt	Andrew Scheer	Conservative Party
2995	2017-08-13	Lisa Raitt	Justin Trudeau	Conservative Party
2996	2017-08-13	Lisa Raitt	Andrew Scheer	Conservative Party
2997	2017-08-13	Lisa Raitt	Andrew	Conservative Party
2998	2017-08-13	Lisa Raitt	Team Scheer	Conservative Party
2999	2017-08-13	Lisa Raitt	Lisa Raitt	Conservative Party
3000	2017-08-13	Lisa Raitt	Milton	Conservative Party
3001	2017-08-15	Chris Warkentin	Mike	Conservative Party
3002	2017-08-15	Chris Warkentin	Justin Trudeau	Conservative Party
3003	2017-08-15	Chris Warkentin	Andrew Scheer	Conservative Party
3004	2017-08-15	Chris Warkentin	Justin Trudeau	Conservative Party
3005	2017-08-15	Chris Warkentin	Team Scheer	Conservative Party
3006	2017-08-15	Chris Warkentin	Chris Warkentin	Conservative Party
3007	2017-08-15	Chris Warkentin	Grande Praire - Mackenzie	Conservative Party
3008	2017-08-16	Conservative Party of Canada	Mike	Conservative Party
3009	2017-08-16	Conservative Party of Canada	Andrew Scheer	Conservative Party
3010	2017-08-16	Conservative Party of Canada	Justin Trudeau	Conservative Party
3011	2017-08-16	Conservative Party of Canada	Omar Khadr	Conservative Party
3012	2017-08-16	Conservative Party of Canada	Trudeau	Conservative Party
3013	2017-08-16	Conservative Party of Canada	Justin Trudeau	Conservative Party
3014	2017-08-16	Conservative Party of Canada	Omar Khadr	Conservative Party
3015	2017-08-16	Conservative Party of Canada	Trudeau	Conservative Party
3016	2017-08-16	Conservative Party of Canada	Khadr	Conservative Party
3017	2017-08-16	Conservative Party of Canada	Trudeau	Conservative Party
3018	2017-08-16	Conservative Party of Canada	Khadr	Conservative Party
3019	2017-08-16	Conservative Party of Canada	Khadr	Conservative Party
3020	2017-08-16	Conservative Party of Canada	Christopher Speer	Conservative Party
3021	2017-08-16	Conservative Party of Canada	Khadr	Conservative Party
3022	2017-08-16	Conservative Party of Canada	Justin Trudeau	Conservative Party
3023	2017-08-16	Conservative Party of Canada	Christopher Speer	Conservative Party
3024	2017-08-16	Conservative Party of Canada	Justin Trudeau	Conservative Party
3025	2017-08-16	Conservative Party of Canada	Omar Khadr	Conservative Party
3026	2017-08-19	Dustin van Vugt	Mike	Conservative Party
3027	2017-08-19	Dustin van Vugt	Andrew Scheer	Conservative Party
3028	2017-08-19	Dustin van Vugt	Andrew	Conservative Party
3029	2017-08-19	Dustin van Vugt	Justin Trudeau	Conservative Party
3030	2017-08-19	Dustin van Vugt	Andrew Scheer	Conservative Party
3031	2017-08-19	Dustin van Vugt	Andrew	Conservative Party
3032	2017-08-19	Dustin van Vugt	Andrew	Conservative Party
3033	2017-08-19	Dustin van Vugt	Dustin van Vugt	Conservative Party
3034	2017-08-20	Chris Warkentin	Mike	Conservative Party
3035	2017-08-20	Chris Warkentin	Justin Trudeau	Conservative Party
3036	2017-08-20	Chris Warkentin	Andrew Scheer	Conservative Party
3037	2017-08-20	Chris Warkentin	Justin Trudeau	Conservative Party
3038	2017-08-20	Chris Warkentin	Team Scheer	Conservative Party
3039	2017-08-20	Chris Warkentin	Chris Warkentin	Conservative Party
3040	2017-08-20	Chris Warkentin	Grande Prairie - Mackenzie	Conservative Party
3041	2017-08-22	Dr. Kellie Leitch	Mike	Conservative Party
3042	2017-08-22	Dr. Kellie Leitch	Justin Trudeau	Conservative Party
3043	2017-08-22	Dr. Kellie Leitch	Trudeau	Conservative Party
3044	2017-08-22	Dr. Kellie Leitch	Justin Trudeau	Conservative Party
3045	2017-08-22	Dr. Kellie Leitch	Kellie Leitch MD	Conservative Party
3046	2017-08-22	Dr. Kellie Leitch	Simcoe - Grey	Conservative Party
3047	2017-08-23	Andrew Scheer	Mike	Conservative Party
3048	2017-08-23	Andrew Scheer	Justin Trudeau's	Conservative Party
3049	2017-08-23	Andrew Scheer	Justin Trudeau	Conservative Party
3050	2017-08-23	Andrew Scheer	Trudeau	Conservative Party
3051	2017-08-23	Andrew Scheer	Trudeau	Conservative Party
3052	2017-08-23	Andrew Scheer	Andrew Scheer	Conservative Party
3053	2017-08-24	Conservative Party of Canada	Mike	Conservative Party
3054	2017-08-24	Conservative Party of Canada	Andrew Scheer	Conservative Party
3055	2017-08-24	Lisa Raitt	Mike	Conservative Party
3056	2017-08-24	Lisa Raitt	Justin Trudeau	Conservative Party
3057	2017-08-24	Lisa Raitt	Trudeau	Conservative Party
3058	2017-08-24	Lisa Raitt	- Jack M. Mintz	Conservative Party
3059	2017-08-24	Lisa Raitt	Shawn Watley	Conservative Party
3060	2017-08-24	Lisa Raitt	- Kim Moody	Conservative Party
3061	2017-08-24	Lisa Raitt	Trudeau	Conservative Party
3062	2017-08-24	Lisa Raitt	Lisa Raitt	Conservative Party
3063	2017-08-25	Andrew Scheer	Mike	Conservative Party
3064	2017-08-25	Andrew Scheer	Trudeau	Conservative Party
3065	2017-08-25	Andrew Scheer	Trudeau	Conservative Party
3066	2017-08-25	Andrew Scheer	Justin Trudeau	Conservative Party
3067	2017-08-25	Andrew Scheer	Andrew Scheer	Conservative Party
3068	2017-08-26	CPC HQ Update!	Mike	Conservative Party
3069	2017-08-27	Lisa Raitt	Mike	Conservative Party
3070	2017-08-27	Lisa Raitt	Justin Trudeau	Conservative Party
3071	2017-08-27	Lisa Raitt	Trudeau	Conservative Party
3072	2017-08-27	Lisa Raitt	- Jack M. Mintz	Conservative Party
3073	2017-08-27	Lisa Raitt	Shawn Watley	Conservative Party
3074	2017-08-27	Lisa Raitt	- Kim Moody	Conservative Party
3075	2017-08-27	Lisa Raitt	Trudeau	Conservative Party
3076	2017-08-27	Lisa Raitt	Lisa Raitt	Conservative Party
3077	2017-08-27	Andrew Scheer	Mike	Conservative Party
3078	2017-08-27	Andrew Scheer	Trudeau	Conservative Party
3079	2017-08-27	Andrew Scheer	Trudeau	Conservative Party
3080	2017-08-27	Andrew Scheer	Justin Trudeau	Conservative Party
3081	2017-08-27	Andrew Scheer	Andrew Scheer	Conservative Party
3082	2017-08-30	Andrew Scheer	Mike	Conservative Party
3083	2017-09-02	CPC HQ	Mike	Conservative Party
3084	2017-09-06	Dustin van Vugt	Mike	Conservative Party
3085	2017-09-06	Dustin van Vugt	Dustin van Vugt	Conservative Party
3086	2017-09-07	Andrew Scheer	Mike	Conservative Party
3087	2017-09-07	Andrew Scheer	Justin Trudeau	Conservative Party
3088	2017-09-07	Andrew Scheer	Justin Trudeau	Conservative Party
3089	2017-09-07	Andrew Scheer	Justin Trudeau	Conservative Party
3090	2017-09-07	Andrew Scheer	Justin Trudeau	Conservative Party
3091	2017-09-07	Andrew Scheer	Justin Trudeau	Conservative Party
3092	2017-09-07	Andrew Scheer	Andrew Scheer	Conservative Party
3093	2017-09-08	Conservative Party of Canada	Mike	Conservative Party
3094	2017-09-08	Conservative Party of Canada	Omar Khadr	Conservative Party
3095	2017-09-08	Conservative Party of Canada	Justin Trudeau	Conservative Party
3096	2017-09-08	Conservative Party of Canada	Andrew Scheer	Conservative Party
3097	2017-09-08	Conservative Party of Canada	Trudeau	Conservative Party
3098	2017-09-08	Conservative Party of Canada	Rod	Conservative Party
3099	2017-09-08	Conservative Party of Canada	Caroly	Conservative Party
3100	2017-09-08	Conservative Party of Canada	Speer	Conservative Party
3101	2017-09-08	Conservative Party of Canada	Omar Khadr	Conservative Party
3102	2017-09-08	Conservative Party of Canada	Kerry	Conservative Party
3103	2017-09-08	Conservative Party of Canada	Trudeau	Conservative Party
3104	2017-09-08	Conservative Party of Canada	Justin Trudeau	Conservative Party
3105	2017-09-13	Gerry Ritz	Mike	
3106	2017-09-13	Gerry Ritz	Scott Ross	
3107	2017-09-13	Gerry Ritz	Gerry Ritz	
3108	2017-09-13	Gerry Ritz	Battlefords Lloydminster	
